listing_id,url,brand,model,year,price,city,mileage_km,body_type,engine_volume_l,fuel_type,transmission,drive_type,steering_wheel,color,condition,description,generated_description
218378733,https://kolesa.kz/a/show/218378733,Toyota,Camry,2023,14450000,Алматы,50000,Седан,2.5,petrol,automatic,Передний привод,Слева,белый,,,"Toyota Camry 2023 in Алматы. Mileage: 50000 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 14450000 KZT."
218485941,https://kolesa.kz/a/show/218485941,Toyota,Camry,2023,15000000,Алматы,78000,Седан,2.5,petrol,automatic,Передний привод,Слева,черный металлик,,,"Toyota Camry 2023 in Алматы. Mileage: 78000 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 15000000 KZT."
218480693,https://kolesa.kz/a/show/218480693,Toyota,Camry,2023,15400000,Алматы,19900,Седан,2.5,petrol,automatic,Передний привод,Слева,синий металлик,,,"Toyota Camry 2023 in Алматы. Mileage: 19900 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 15400000 KZT."
212202759,https://kolesa.kz/a/show/212202759,Toyota,Camry Prestige,2023,15888000,Алматы,15135,Седан,2.5,petrol,automatic,Передний привод,Слева,черный металлик,,,"Toyota Camry Prestige 2023 in Алматы. Mileage: 15135 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 15888000 KZT."
218483564,https://kolesa.kz/a/show/218483564,Toyota,Camry,2023,16700000,Алматы,71000,Седан,2.5,petrol,automatic,Передний привод,Слева,черный металлик,,,"Toyota Camry 2023 in Алматы. Mileage: 71000 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 16700000 KZT."
218287273,https://kolesa.kz/a/show/218287273,Toyota,Camry,2023,14700000,Алматы,24300,Седан,2.5,petrol,automatic,Передний привод,Слева,черный металлик,,,"Toyota Camry 2023 in Алматы. Mileage: 24300 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 14700000 KZT."
216993369,https://kolesa.kz/a/show/216993369,Toyota,Camry,2023,18500000,Алматы,48000,Седан,2.5,petrol,automatic,Передний привод,Слева,черный,,,"Toyota Camry 2023 in Алматы. Mileage: 48000 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 18500000 KZT."
211964815,https://kolesa.kz/a/show/211964815,Toyota,Camry Prestige,2023,14700000,Алматы,107597,Седан,2.5,petrol,automatic,Передний привод,Слева,серебристый,,,"Toyota Camry Prestige 2023 in Алматы. Mileage: 107597 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 14700000 KZT."
210894227,https://kolesa.kz/a/show/210894227,Toyota,Camry Prestige,2023,16200000,Алматы,48833,Седан,2.5,petrol,automatic,Передний привод,Слева,серый,,,"Toyota Camry Prestige 2023 in Алматы. Mileage: 48833 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 16200000 KZT."
217605723,https://kolesa.kz/a/show/217605723,Toyota,Camry,2023,16545292,Алматы,129000,Седан,2.5,petrol,automatic,Передний привод,Слева,черный,,,"Toyota Camry 2023 in Алматы. Mileage: 129000 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 16545292 KZT."
215417619,https://kolesa.kz/a/show/215417619,Toyota,Camry,2023,18770000,Алматы,47000,Седан,2.5,petrol,automatic,Передний привод,Слева,черный металлик,,,"Toyota Camry 2023 in Алматы. Mileage: 47000 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 18770000 KZT."
217828397,https://kolesa.kz/a/show/217828397,Toyota,Camry,2023,16250000,Алматы,87000,Седан,2.5,petrol,automatic,Передний привод,Слева,,,,"Toyota Camry 2023 in Алматы. Mileage: 87000 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 16250000 KZT."
216424015,https://kolesa.kz/a/show/216424015,Toyota,Camry,2023,15500000,Алматы,39000,Седан,2.5,petrol,automatic,Передний привод,Слева,черный металлик,,,"Toyota Camry 2023 in Алматы. Mileage: 39000 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 15500000 KZT."
218033565,https://kolesa.kz/a/show/218033565,Toyota,Camry,2023,15699999,Алматы,86000,Седан,2.5,petrol,automatic,Передний привод,Слева,черный,,,"Toyota Camry 2023 in Алматы. Mileage: 86000 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 15699999 KZT."
217809318,https://kolesa.kz/a/show/217809318,Toyota,Camry,2023,16000000,Алматы,48000,Седан,2.5,petrol,automatic,Передний привод,Слева,черный,,,"Toyota Camry 2023 in Алматы. Mileage: 48000 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 16000000 KZT."
218520849,https://kolesa.kz/a/show/218520849,Toyota,Camry,2023,14500000,Алматы,73000,Седан,2.5,petrol,automatic,Передний привод,Слева,черный металлик,,,"Toyota Camry 2023 in Алматы. Mileage: 73000 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 14500000 KZT."
218514304,https://kolesa.kz/a/show/218514304,Toyota,Camry,2023,16700000,Алматы,100000,Седан,2.5,petrol,automatic,Передний привод,Слева,,,,"Toyota Camry 2023 in Алматы. Mileage: 100000 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 16700000 KZT."
218505227,https://kolesa.kz/a/show/218505227,Toyota,Camry,2023,17900000,Алматы,6500,Седан,2.5,hybrid,variator,Передний привод,Слева,белый,,,"Toyota Camry 2023 in Алматы. Mileage: 6500 km. Engine: 2.5 L, hybrid. Transmission: variator. Price: 17900000 KZT."
184630555,https://kolesa.kz/a/show/184630555,Toyota,Camry,2023,15500000,Алматы,66000,Седан,2.5,petrol,automatic,Передний привод,Слева,черный,,,"Toyota Camry 2023 in Алматы. Mileage: 66000 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 15500000 KZT."
211820024,https://kolesa.kz/a/show/211820024,Toyota,Camry,2023,13950000,Алматы,40000,Седан,2.5,hybrid,variator,Передний привод,Слева,серебристый металлик,,,"Toyota Camry 2023 in Алматы. Mileage: 40000 km. Engine: 2.5 L, hybrid. Transmission: variator. Price: 13950000 KZT."
210205401,https://kolesa.kz/a/show/210205401,Toyota,Camry,2023,15800000,Алматы,70000,Седан,2.5,petrol,automatic,Передний привод,Слева,серебристый,,,"Toyota Camry 2023 in Алматы. Mileage: 70000 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 15800000 KZT."
179961604,https://kolesa.kz/a/show/179961604,Toyota,Camry,2023,15700000,Алматы,25380,Седан,2.5,petrol,automatic,Передний привод,Слева,белый,,,"Toyota Camry 2023 in Алматы. Mileage: 25380 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 15700000 KZT."
215104494,https://kolesa.kz/a/show/215104494,Toyota,Camry,2023,17900000,Алматы,68000,Седан,2.5,petrol,automatic,Передний привод,Слева,,,,"Toyota Camry 2023 in Алматы. Mileage: 68000 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 17900000 KZT."
213172384,https://kolesa.kz/a/show/213172384,Toyota,Camry,2023,18000000,Алматы,4300,Седан,2.5,petrol,automatic,Передний привод,Слева,серебристый металлик,,,"Toyota Camry 2023 in Алматы. Mileage: 4300 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 18000000 KZT."
217952249,https://kolesa.kz/a/show/217952249,Toyota,Camry,2023,16000000,Алматы,102000,Седан,2.5,petrol,automatic,Передний привод,Слева,черный,,,"Toyota Camry 2023 in Алматы. Mileage: 102000 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 16000000 KZT."
218302538,https://kolesa.kz/a/show/218302538,Toyota,Camry,2023,16000000,Алматы,28400,Седан,2.5,petrol,automatic,Передний привод,Слева,серебристый,,,"Toyota Camry 2023 in Алматы. Mileage: 28400 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 16000000 KZT."
216253916,https://kolesa.kz/a/show/216253916,Toyota,Camry,2023,15500000,Алматы,63500,Седан,2.5,petrol,automatic,Передний привод,Слева,черный металлик,,,"Toyota Camry 2023 in Алматы. Mileage: 63500 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 15500000 KZT."
192472909,https://kolesa.kz/a/show/192472909,Toyota,Camry,2023,16300000,Алматы,26000,Седан,2.5,petrol,automatic,Передний привод,Слева,белый,,,"Toyota Camry 2023 in Алматы. Mileage: 26000 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 16300000 KZT."
216528433,https://kolesa.kz/a/show/216528433,Toyota,Camry,2023,16000000,Алматы,,Седан,2.5,petrol,automatic,Передний привод,Слева,,,,"Toyota Camry 2023 in Алматы. Engine: 2.5 L, petrol. Transmission: automatic. Price: 16000000 KZT."
216894082,https://kolesa.kz/a/show/216894082,Toyota,Camry,2023,16290000,Алматы,88349,Седан,2.5,petrol,automatic,Передний привод,Слева,белый,,,"Toyota Camry 2023 in Алматы. Mileage: 88349 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 16290000 KZT."
215348756,https://kolesa.kz/a/show/215348756,Toyota,Camry,2023,15500000,Алматы,285000,Седан,2.5,petrol,automatic,Передний привод,Слева,бордовый металлик,,,"Toyota Camry 2023 in Алматы. Mileage: 285000 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 15500000 KZT."
218391114,https://kolesa.kz/a/show/218391114,Toyota,Camry,2023,16990000,Алматы,32703,Седан,2.5,petrol,automatic,Передний привод,Слева,серебристый,,,"Toyota Camry 2023 in Алматы. Mileage: 32703 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 16990000 KZT."
216061153,https://kolesa.kz/a/show/216061153,Toyota,Camry,2023,18500000,Алматы,7455,Седан,2.5,petrol,automatic,Полный привод,Слева,черный металлик,,,"Toyota Camry 2023 in Алматы. Mileage: 7455 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 18500000 KZT."
218362209,https://kolesa.kz/a/show/218362209,Toyota,Camry,2023,16500000,Алматы,40000,Седан,2.5,petrol,automatic,Передний привод,Слева,белый,,,"Toyota Camry 2023 in Алматы. Mileage: 40000 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 16500000 KZT."
215900403,https://kolesa.kz/a/show/215900403,Toyota,Camry,2023,16200000,Алматы,18300,Седан,2.5,petrol,automatic,Передний привод,Слева,черный металлик,,,"Toyota Camry 2023 in Алматы. Mileage: 18300 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 16200000 KZT."
215249295,https://kolesa.kz/a/show/215249295,Toyota,Camry,2023,19000000,Алматы,30000,Седан,2.5,petrol,automatic,Передний привод,Слева,белый металлик,,,"Toyota Camry 2023 in Алматы. Mileage: 30000 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 19000000 KZT."
